ENL_ID,MRR_ID,Country,site_name,lat,long,date_st,date_en,genus,species1,species2,species3,cohort,mos_origin,inoutrel,inoutrec,blood,sugar,age,mark_meth1,mark_meth2,release_meth,capture_meth1,capture_meth2,capture_meth3,releases_n,recaptures_n,time1,time2,trap_range,trap_range_shape,trap_number,release_sites_location,n_released_f,n_captured_f,n_recaptured_f,rratef,Pop1_f,Pop2_f,Pop3_f,Pop4_f,DPS1_f,DPS2_f,MDT_f,MnDT_f,MxDT_f,GC,disagg_d,MRR_notes
19,819,Reunion,Saint Pierre 2,-21.316111,55.4875,01/06/2007 00:00,,Aedes,4,,,Release 1,2,2,2,0,1,3,1,,1,4,,,1,15,1,15,100,symmetric,28,centric,173,,53,0.3,,,,,0.93,,,,,,1,Data disaggregated in time and distance for all 3 releases. For some reason there are disparities in numbers recaptured between figures and tables.
19,816,Reunion,Saint Pierre 1,-21.320833,55.484444,01/05/2007 00:00,,Aedes,4,,,Release 1,2,2,2,0,1,5,1,,1,4,,,1,21,1,21,50,symmetric,20,centric,,,,,,,,,,,,,,,1,Data disaggregated in time and distance for all 3 releases. For some reason there are disparities in numbers recaptured between figures and tables.
19,820,Reunion,Saint Pierre 2,-21.316111,55.4875,01/06/2007 00:00,,Aedes,4,,,Release 2,2,2,2,0,1,3,1,,1,4,,,1,15,1,15,100,symmetric,28,centric,164,,40,0.24,,,,,0.93,,,,,,0,
25,329,Brazil,Olaria (Rio de Janeiro),-22.845833,-43.260833,02/12/2006 00:00,,Aedes,2,,,N/A,4,2,2,1,0,7,1,,1,28,29,,1,18,1,18,1500,,192,,725,,46,0.06,,,,,,,288.12,,690,,1,Blood meal was offered 3 days before release
26,368,Brazil,Olaria (Rio de Janeiro),-22.845833,-43.260833,01/11/2006 00:00,,Aedes,2,,,N/A,4,3,4,1,0,8,1,,1,29,5,,1,13,1,14,1500,,134,,1240,542,174,0.14,3505,,,,0.737,0.773,,,,,1,Exact dates of MRR not given. DPS1=exponential method; DPS2=non-linear method. Blood meal offered at 3-4 days of age.
28,572,Japan,Nishinomiya,34.7181611,135.332625,26/06/2007 00:00,29/06/2007 00:00,Culex,40,,,N/A,2,3,2,0,0,8,1,,1,21,12,,1,4,1,4,1200,symmetric,48,centric,10183,,121,0.01,100904,,,,,,421,,,,1,A total of 65 females recaptured with human bait landing catches; daily data correspond to only the 56 recaptured with CDC traps. Rhodamine B was used as fluorescent dye
31,71,United States of America,Waiakea Forest Reserve,19.638482,-155.258331,01/10/1997 00:00,,Culex,14,,,N/A,2,2,2,0,0,6,1,,1,34,,,1,12,0,12,3000,symmetric,44,centric,7402,,32,4.32E-03,,,,,,,1680,,,,0,
31,768,United States of America,Waiakea Forest Reserve,19.638482,-155.258331,01/11/1997 00:00,,Culex,14,,,N/A,2,2,2,0,0,6,1,,1,34,,,1,12,0,12,3000,symmetric,44,centric,13600,,86,6.32E-03,,,,,,,1350,,,,1,
31,769,United States of America,Waiakea Forest Reserve,19.638482,-155.258331,01/09/1998 00:00,,Culex,14,,,N/A,2,2,2,0,0,6,1,,1,34,,,1,12,0,12,3000,symmetric,52,centric,14380,,409,0.02,,,,,,,1890,,,,1,
31,770,United States of America,Waiakea Forest Reserve,19.638482,-155.258331,01/10/1998 00:00,,Culex,14,,,N/A,2,2,2,0,0,6,1,,1,34,,,1,12,0,12,3000,symmetric,52,centric,17792,,292,0.01,,,,,,,970,,,,0,
31,771,United States of America,Waiakea Forest Reserve,19.638482,-155.258331,01/11/1998 00:00,,Culex,14,,,N/A,2,2,2,0,0,6,1,,1,34,,,1,12,0,12,3000,symmetric,52,centric,12873,,372,0.02,,,,,,,810,,,,0,
33,287,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 5-6d,2,1,1,0,0,6,11,1,2,19,,,2,2,1,2,500,,84,,58,,2,0.03,,,,,,,,,,,1,CDC backpack aspirator
33,286,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 3-4d,2,1,1,0,0,4,11,1,2,19,,,2,2,1,2,500,,84,,59,,10,0.16,,,,,,,,,,,1,CDC backpack aspirator
33,282,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 1-2d,2,1,1,0,0,2,11,1,2,19,,,2,2,1,2,500,,84,,60,,7,0.11,,,,,,,,,,,1,CDC backpack aspirator
33,312,Thailand,Pai Lom,16.75,98.55,02/08/2002 00:00,,Aedes,2,,,Age: 15-16d,2,1,1,0,0,16,11,1,2,19,,,2,2,1,2,500,,84,,35,,0,0,,,,,,,,,,,1,CDC backpack aspirator
33,311,Thailand,Pai Lom,16.75,98.55,02/08/2002 00:00,,Aedes,2,,,Age: 13-14d,2,1,1,0,0,14,11,1,2,19,,,2,2,1,2,500,,84,,79,,3,0.03,,,,,,,,,,,1,CDC backpack aspirator
33,310,Thailand,Pai Lom,16.75,98.55,02/08/2002 00:00,,Aedes,2,,,Age: 11-12d,2,1,1,0,0,12,11,1,2,19,,,2,2,1,2,500,,84,,63,,3,0.04,,,,,,,,,,,1,CDC backpack aspirator
33,309,Thailand,Pai Lom,16.75,98.55,02/08/2002 00:00,,Aedes,2,,,Age: 9-10d,2,1,1,0,0,10,11,1,2,19,,,2,2,1,2,500,,84,,75,,3,0.04,,,,,,,,,,,1,CDC backpack aspirator
33,308,Thailand,Pai Lom,16.75,98.55,02/08/2002 00:00,,Aedes,2,,,Age: 7-8d,2,1,1,0,0,8,11,1,2,19,,,2,2,1,2,500,,84,,67,,1,0.01,,,,,,,,,,,1,CDC backpack aspirator
33,307,Thailand,Pai Lom,16.75,98.55,02/08/2002 00:00,,Aedes,2,,,Age: 5-6d,2,1,1,0,0,6,11,1,2,19,,,2,2,1,2,500,,84,,87,,5,0.05,,,,,,,,,,,1,CDC backpack aspirator
33,303,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 17-18d,2,1,1,0,0,18,11,1,2,19,,,2,2,1,2,500,,84,,42,,1,0.02,,,,,,,,,,,1,CDC backpack aspirator
33,304,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 19-20d,2,1,1,0,0,20,11,1,2,19,,,2,2,1,2,500,,84,,50,,2,0.04,,,,,,,,,,,1,CDC backpack aspirator
33,288,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 7-8d,2,1,1,0,0,8,11,1,2,19,,,2,2,1,2,500,,84,,56,,8,0.14,,,,,,,,,,,1,CDC backpack aspirator
33,306,Thailand,Pai Lom,16.75,98.55,02/08/2002 00:00,,Aedes,2,,,Age: 3-4d,2,1,1,0,0,4,11,1,2,19,,,2,2,1,2,500,,84,,85,,9,0.1,,,,,,,,,,,1,CDC backpack aspirator
33,305,Thailand,Pai Lom,16.75,98.55,02/08/2002 00:00,,Aedes,2,,,Age: 1-2d,2,1,1,0,0,2,11,1,2,19,,,2,2,1,2,500,,84,,93,,11,0.11,,,,,,,,,,,1,CDC backpack aspirator
33,316,Thailand,Lao Bao,16.75,98.566667,02/08/2002 00:00,,Aedes,2,,,Age: 3-4d,2,1,1,0,0,4,11,1,2,19,,,2,2,1,2,500,,84,,85,,13,0.15,,,,,,,,,,,1,CDC backpack aspirator
33,322,Thailand,Lao Bao,16.75,98.566667,02/08/2002 00:00,,Aedes,2,,,Age: 15-16d,2,1,1,0,0,16,11,1,2,19,,,2,2,1,2,500,,84,,43,,2,0.04,,,,,,,,,,,1,CDC backpack aspirator
33,321,Thailand,Lao Bao,16.75,98.566667,02/08/2002 00:00,,Aedes,2,,,Age: 13-14d,2,1,1,0,0,14,11,1,2,19,,,2,2,1,2,500,,84,,42,,2,0.04,,,,,,,,,,,1,CDC backpack aspirator
33,320,Thailand,Lao Bao,16.75,98.566667,02/08/2002 00:00,,Aedes,2,,,Age: 11-12d,2,1,1,0,0,12,11,1,2,19,,,2,2,1,2,500,,84,,35,,3,0.08,,,,,,,,,,,1,CDC backpack aspirator
33,319,Thailand,Lao Bao,16.75,98.566667,02/08/2002 00:00,,Aedes,2,,,Age: 9-10d,2,1,1,0,0,10,11,1,2,19,,,2,2,1,2,500,,84,,80,,4,0.05,,,,,,,,,,,1,CDC backpack aspirator
33,318,Thailand,Lao Bao,16.75,98.566667,02/08/2002 00:00,,Aedes,2,,,Age: 7-8d,2,1,1,0,0,8,11,1,2,19,,,2,2,1,2,500,,84,,56,,1,0.01,,,,,,,,,,,1,CDC backpack aspirator
33,302,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 15-16d,2,1,1,0,0,16,11,1,2,19,,,2,2,1,2,500,,84,,53,,1,0.01,,,,,,,,,,,1,CDC backpack aspirator
33,291,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 13-14d,2,1,1,0,0,14,11,1,2,19,,,2,2,1,2,500,,84,,43,,1,0.02,,,,,,,,,,,1,CDC backpack aspirator
33,298,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 7-8d,2,1,1,0,0,8,11,1,2,19,,,2,2,1,2,500,,84,,52,,3,0.05,,,,,,,,,,,1,CDC backpack aspirator
33,289,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 9-10d,2,1,1,0,0,10,11,1,2,19,,,2,2,1,2,500,,84,,45,,6,0.13,,,,,,,,,,,1,CDC backpack aspirator
33,299,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 9-10d,2,1,1,0,0,10,11,1,2,19,,,2,2,1,2,500,,84,,51,,5,0.09,,,,,,,,,,,1,CDC backpack aspirator
33,297,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 5-6d,2,1,1,0,0,6,11,1,2,19,,,2,2,1,2,500,,84,,54,,3,0.05,,,,,,,,,,,1,CDC backpack aspirator
33,300,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 11-12d,2,1,1,0,0,12,11,1,2,19,,,2,2,1,2,500,,84,,46,,1,0.02,,,,,,,,,,,1,CDC backpack aspirator
33,315,Thailand,Lao Bao,16.75,98.566667,02/08/2002 00:00,,Aedes,2,,,Age: 1-2d,2,1,1,0,0,2,11,1,2,19,,,2,2,1,2,500,,84,,93,,18,0.19,,,,,,,,,,,1,CDC backpack aspirator
33,301,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 13-14d,2,1,1,0,0,14,11,1,2,19,,,2,2,1,2,500,,84,,52,,4,0.07,,,,,,,,,,,1,CDC backpack aspirator
33,296,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 3-4d,2,1,1,0,0,4,11,1,2,19,,,2,2,1,2,500,,84,,59,,10,0.16,,,,,,,,,,,1,CDC backpack aspirator
33,295,Thailand,Lao Bao,16.75,98.566667,31/01/2002 00:00,,Aedes,2,,,Age: 1-2d,2,1,1,0,0,2,11,1,2,19,,,2,2,1,2,500,,84,,60,,9,0.15,,,,,,,,,,,1,CDC backpack aspirator
33,294,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 19-20d,2,1,1,0,0,20,11,1,2,19,,,2,2,1,2,500,,84,,53,,6,0.11,,,,,,,,,,,1,CDC backpack aspirator
33,293,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 17-18d,2,1,1,0,0,18,11,1,2,19,,,2,2,1,2,500,,84,,54,,0,0,,,,,,,,,,,1,CDC backpack aspirator
33,292,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 15-16d,2,1,1,0,0,16,11,1,2,19,,,2,2,1,2,500,,84,,50,,1,0.02,,,,,,,,,,,1,CDC backpack aspirator
33,290,Thailand,Pai Lom,16.75,98.55,31/01/2002 00:00,,Aedes,2,,,Age: 11-12d,2,1,1,0,0,12,11,1,2,19,,,2,2,1,2,500,,84,,44,,2,0.04,,,,,,,,,,,1,CDC backpack aspirator
33,317,Thailand,Lao Bao,16.75,98.566667,02/08/2002 00:00,,Aedes,2,,,Age: 5-6d,2,1,1,0,0,6,11,1,2,19,,,2,2,1,2,500,,84,,87,,8,0.09,,,,,,,,,,,1,CDC backpack aspirator
39,65,Kenya,Mtepeni,-3.9083333,39.7266666,01/04/2002 00:00,30/06/2002 00:00,Anopheles,11,12,,Release 2,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,1200,,10,,398,40,11,0.02,,,,,0.95,0.83,,,661,,0,"Of those recaptured, 3.7% An. funestus - 96.3% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,60,Kenya,Jaribuni,-3.6216666,39.7433333,01/02/2002 00:00,30/04/2002 00:00,Anopheles,12,11,,Release 6,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,600,,11,,80,2384,17,0.21,,,,,0.96,0.95,,,661,,0,"Of those recaptured, 74% An. funestus - 26% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,59,Kenya,Jaribuni,-3.6216666,39.7433333,01/02/2002 00:00,30/04/2002 00:00,Anopheles,12,11,,Release 5,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,600,,11,,97,726,37,0.38,,,,,0.96,0.95,,,661,,0,"Of those recaptured, 74% An. funestus - 26% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,63,Kenya,Jaribuni,-3.6216666,39.7433333,01/02/2002 00:00,30/04/2002 00:00,Anopheles,12,11,,Release 9,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,600,,11,,30,1546,9,0.3,,,,,0.96,0.95,,,661,,0,"Of those recaptured, 74% An. funestus - 26% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,66,Kenya,Mtepeni,-3.9083333,39.7266666,01/04/2002 00:00,30/06/2002 00:00,Anopheles,11,12,,Release 3,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,1200,,10,,234,45,8,0.03,,,,,0.95,0.83,,,661,,0,"Of those recaptured, 3.7% An. funestus - 96.3% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,67,Kenya,Mtepeni,-3.9083333,39.7266666,01/04/2002 00:00,30/06/2002 00:00,Anopheles,11,12,,Release 4,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,1200,,10,,185,67,12,0.06,,,,,0.95,0.83,,,661,,0,"Of those recaptured, 3.7% An. funestus - 96.3% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,68,Kenya,Mtepeni,-3.9083333,39.7266666,01/04/2002 00:00,30/06/2002 00:00,Anopheles,11,12,,Release 5,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,1200,,10,,335,25,20,0.05,,,,,0.95,0.83,,,661,,0,"Of those recaptured, 3.7% An. funestus - 96.3% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,62,Kenya,Jaribuni,-3.6216666,39.7433333,01/02/2002 00:00,30/04/2002 00:00,Anopheles,12,11,,Release 8,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,600,,11,,47,1029,0,0,,,,,0.96,0.95,,,661,,0,"Of those recaptured, 74% An. funestus - 26% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,58,Kenya,Jaribuni,-3.6216666,39.7433333,01/02/2002 00:00,30/04/2002 00:00,Anopheles,12,11,,Release 4,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,600,,11,,75,1029,4,0.05,,,,,0.96,0.95,,,661,,0,"Of those recaptured, 74% An. funestus - 26% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,61,Kenya,Jaribuni,-3.6216666,39.7433333,01/02/2002 00:00,30/04/2002 00:00,Anopheles,12,11,,Release 7,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,600,,11,,96,1059,35,0.36,,,,,0.96,0.95,,,661,,0,"Of those recaptured, 74% An. funestus - 26% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,56,Kenya,Jaribuni,-3.6216666,39.7433333,01/02/2002 00:00,30/04/2002 00:00,Anopheles,12,11,,Release 2,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,600,,11,,184,2540,60,0.32,,,,,0.96,0.95,,,661,,0,"Of those recaptured, 74% An. funestus - 26% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,55,Kenya,Jaribuni,-3.6216666,39.7433333,01/02/2002 00:00,30/04/2002 00:00,Anopheles,12,11,,Release 1,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,600,,11,,88,1260,1,0.01,,,,,0.96,0.95,,,661,,1,"Of those recaptured, 74% An. funestus - 26% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,64,Kenya,Mtepeni,-3.9083333,39.7266666,01/04/2002 00:00,30/06/2002 00:00,Anopheles,11,12,,Release 1,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,1200,,10,,94,13,3,0.03,,,,,0.95,0.83,,,661,,1,"Of those recaptured, 3.7% An. funestus - 96.3% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
39,57,Kenya,Jaribuni,-3.6216666,39.7433333,01/02/2002 00:00,30/04/2002 00:00,Anopheles,12,11,,Release 3,2,2,4,0,1,3,1,,1,13,12,,1,14,1,14,600,,11,,52,2348,19,0.36,,,,,0.96,0.95,,,661,,0,"Of those recaptured, 74% An. funestus - 26% An. gambiae ss. DPS1=species1; DPS2=species2. MxDT=max observed for both spcies at both sites"
40,238,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,39,,,"Trial I, 800m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,800,symmetric,1,centric,152,,1,6.58E-03,,,,,,,,,,,1,
40,234,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,39,,,"Trial III, 400m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,400,symmetric,1,centric,173,,5,0.02,,,,,,,,,,,1,
40,235,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,41,,,"Trial I, 400m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,400,symmetric,1,centric,152,,0,0,,,,,,,,,,,0,
40,236,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,41,,,"Trial II, 400m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,400,symmetric,1,centric,145,,0,0,,,,,,,,,,,0,
40,242,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,41,,,"Trial II, 800m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,800,symmetric,1,centric,170,,0,0,,,,,,,,,,,0,
40,241,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,41,,,"Trial I, 800m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,800,symmetric,1,centric,125,,0,0,,,,,,,,,,,0,
40,226,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,39,,,"Trial I, 0m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,0,symmetric,1,centric,175,,15,0.08,,,,,,,,,,,1,
40,239,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,39,,,"Trial II, 800m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,800,symmetric,1,centric,196,,0,0,,,,,,,,,,,0,
40,243,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,41,,,"Trial III, 800m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,800,symmetric,1,centric,143,,0,0,,,,,,,,,,,0,
40,237,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,41,,,"Trial III, 400m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,400,symmetric,1,centric,145,,0,0,,,,,,,,,,,0,
40,232,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,39,,,"Trial I, 400m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,400,symmetric,1,centric,182,,6,0.03,,,,,,,,,,,1,
40,240,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,39,,,"Trial III, 800m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,800,symmetric,1,centric,186,,0,0,,,,,,,,,,,0,
40,227,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,39,,,"Trial II, 0m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,0,symmetric,1,centric,186,,14,0.07,,,,,,,,,,,1,
40,228,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,39,,,"Trial III, 0m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,0,symmetric,1,centric,195,,14,0.07,,,,,,,,,,,1,
40,229,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,41,,,"Trial I, 0m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,0,symmetric,1,centric,160,,2,0.01,,,,,,,,,,,1,
40,230,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,41,,,"Trial II, 0m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,0,symmetric,1,centric,156,,2,0.01,,,,,,,,,,,1,
40,231,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,41,,,"Trial III, 0m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,0,symmetric,1,centric,130,,1,7.69E-03,,,,,,,,,,,1,
40,233,Belize,Pastureland in Orange Walk District,18.1968611,-88.533,11/09/2003 00:00,02/10/2003 00:00,Anopheles,39,,,"Trial II, 400m",1,2,4,0,0,,1,,1,12,,,1,2,0,1,400,symmetric,1,centric,176,,5,0.02,,,,,,,,,,,1,
48,19,Brazil,Favela do Amorim,-22.875,-43.2480555,01/06/2005 00:00,01/06/2005 00:00,Aedes,2,,,Cohort 1,4,2,4,0,1,4,1,,1,19,4,1,1,13,1,13,200,,15,,731,,97,0.13,,,,,0.85,0.87,53.15,,151.92,,1,CDC backpack aspirator. DPS1 = exponential model; DPS2 = non-linear model
